word,postcount,commentcount,
saved,2,2,
cmd+shift+4,0,1,
teaching,1,0,
sorry,1,4,
sie-ce,0,1,
spec,1,0,
rescue,1,0,
misunderstanding,0,1,
updates,0,1,
upstream,1,0,
we'll,0,2,
cmd,0,3,
wednesday,1,0,
dowload,1,0,
machines,1,1,
errors,1,1,
preferences,0,1,
iterating,0,1,
kuo,0,1,
told,0,1,
coursefiles/hcde310a16/.git/config,0,1,
path,1,1,
changed,0,6,
approaches,0,1,
i'd,0,4,
loop,0,4,
i'm,18,14,
changes,0,3,
replace,1,2,
call,0,1,
typo,1,0,
type,1,12,
tell,2,1,
separated,1,0,
phone,2,0,
1:30-2:30,2,0,
90,0,1,
word,2,1,
setup,3,1,
eclipse,5,12,
worth,0,2,
karras,0,1,
homeworks_orginalversions,0,1,
example,1,1,
user/pw,0,1,
feature,1,0,
machine,11,23,
homeworks_originalversion,1,1,
config,1,0,
subdirectories,2,0,
becky,0,2,
description,1,0,
usb's,2,1,
https://canvas.uw.edu/courses/1066100/pages/eclipse-troubleshooting,0,1,
wrong,0,4,
third,0,1,
appreciate,1,0,
triggering,0,1,
feedback,0,1,
office,8,13,
expects,0,1,
uuid,1,1,
fix,6,1,
crew,1,0,
production,0,2,
easier,1,3,
split,0,1,
hcde310,0,1,
prevented,0,1,
break,0,1,
alex,3,1,
debug,0,3,
mean,0,2,
hw3feedprocessor.py,3,0,
upload,0,3,
we'd,0,1,
extract,0,1,
message,2,3,
overwrite,0,1,
revisions,0,1,
network,0,3,
content,0,1,
re,1,1,
you're,1,8,
surveys,0,1,
free,0,3,
standard,1,0,
created,1,1,
messages,0,1,
creates,0,1,
moving,0,2,
onto,0,2,
encouraging,0,1,
customization,0,1,
top,0,2,
master,1,1,
listed,2,1,
gilbert,1,0,
john,2,3,
tool,0,1,
somewhat,0,1,
=virtual,0,1,
project,2,1,
silly,1,0,
https://www.docker.com/what-docker,0,1,
extracting,1,0,
ran,0,2,
navigate,0,3,
mine,0,1,
talking,1,0,
mint,3,3,
tells,1,0,
contents,0,1,
latter,1,0,
completed,2,0,
committing,0,2,
object,0,2,
scripts,0,2,
lions/tigers,1,0,
macbook,0,1,
professor,0,1,
definitely,0,1,
tech,0,1,
consumes,0,1,
saying,1,0,
hw3part1.py,1,0,
bonnie,0,1,
pops,0,1,
copy,1,7,
menu,1,5,
explain,1,0,
hrm,0,2,
specify,0,1,
folder,7,10,
sieg,1,3,
oct,1,0,
stop,1,1,
amazon,0,1,
bat,1,0,
bar,1,1,
bad,0,2,
shots,0,1,
hw2-part3.py,0,1,
test.txt,0,1,
testing,2,1,
expedience,0,1,
cloning,0,2,
corrupt,0,1,
hcde310@adminuser-virtualbox,0,2,
there's,3,2,
0%,0,1,
approach,0,2,
confusion,0,1,
suggested,0,1,
received,0,1,
ill,0,1,
vbox,0,1,
restarting,0,1,
distinction,0,1,
browser,0,3,
written,2,0,
speak,0,1,
quickly,0,1,
extraction,0,1,
expected,0,2,
entered,1,0,
containers,0,1,
website,1,0,
life,2,0,
3:30-5pm,1,0,
catch,0,1,
suppose,0,1,
mistake,0,2,
played,0,1,
skipping,0,1,
containing,1,0,
complex,0,1,
3:30pm,0,1,
incorrectly,0,1,
documents,1,0,
characters,0,5,
insisted,1,0,
shortly,0,1,
programs,0,1,
uploading,2,2,
options,1,1,
left,4,7,
ideas,0,2,
quotes,0,1,
thanks,2,26,
sheena,0,2,
yes,0,5,
adding,0,5,
mix,0,2,
character,1,1,
https://canvas.uw.edu/courses/1066100/files/folder/gethw,1,0,
easy,0,4,
save,0,1,
designate,0,1,
possibly,0,1,
whichever,0,1,
chia-fang,0,2,
performing,0,1,
51,1,0,
50,2,2,
specific,1,0,
steps,0,1,
night,1,0,
vdi,0,2,
people,0,4,
successfully,1,1,
hassle,0,1,
pulls,0,2,
multiple,1,0,
grading,0,3,
notification,0,1,
comments,2,0,
hi-dpi,0,1,
denied,0,1,
3:30,2,2,
422,1,1,
wordfreq("hw3feed.txt",'post')["anyone,0,1,
core,0,1,
repository,1,14,
deleted,1,4,
substituted,0,1,
